mppi_cost,deppi_cost,diff_mppi_minus_deppi
108289.77257084328,34907.817204092986,73381.9553667503
-2403.6256370418373,31615.94350627003,-34019.56914331186
2.511381904727348e7,25824.069063080384,2.50879949782104e7
997670.1679893828,31388.097280944763,966282.0707084379
2.399813967878575e7,31565.005826232846,2.3966574672959518e7
-2365.2621305729213,43434.9292794762,-45800.19141004912
-2298.7763550096042,31451.901852203122,-33750.678207212724
-2256.8873253238676,35408.66937184179,-37665.55669716566
12704.466173115432,25282.707086933948,-12578.240913818516
-2321.771254897925,38957.1111424926,-41278.882397390524
-2349.7000914699884,34385.32695539913,-36735.027046869116
-2279.3807427486227,35622.61086696616,-37901.99160971479
1.9018243008575827e7,36491.204769802636,1.8981751803806026e7
1.3997909809174873e7,37384.91805273465,1.3960524891122138e7
22757.622405402137,35520.6726149221,-12763.050209519963
2.20584737966168e7,34747.8779275068,2.2023725918689292e7
-2398.603035746144,29908.465518900186,-32307.06855464633
1.5997969376992125e7,37827.58829068186,1.5960141788701443e7
-2330.723494541728,34266.08045834523,-36596.80395288696
1.1997916558391977e7,31669.493523433106,1.1966247064868543e7
-2511.2958720287547,33863.3544542964,-36374.65032632516
2.199826087540431e7,33715.3139172895,2.196454556148702e7
-2240.8140750692473,33109.73848120952,-35350.552556278766
-2490.774204655637,30576.32889037084,-33067.103095026476
-2263.422820790919,31422.316791754078,-33685.739612544996
1.3997892991062509e7,27449.813562728366,1.397044317749978e7
-2446.5995192763185,28830.458244468457,-31277.057763744775
-2209.9192085000163,32876.19813377006,-35086.11734227008
-2466.8724636279576,27339.5891682308,-29806.461631858758
6.9978200697720125e6,29201.057963170748,6.9686190118088415e6
1.9976082087584478e6,33006.45093538764,1.96460175782306e6
-2406.11910946413,28625.504218432696,-31031.623327896825
2.3093590425252516e7,37386.71226900408,2.305620371298351e7
-2397.4668024103266,29924.892085899413,-32322.35888830974
7.9978669543189e6,30693.796267456615,7.967173158051443e6
1.997550130354673e6,32516.99427134314,1.9650331360833298e6
-2330.066119440986,28851.588549660555,-31181.65466910154
-2442.603545710907,34177.8496318385,-36620.45317754941
1.699800092680242e7,28628.231717660023,1.6969372695084758e7
-2272.3126087514024,39745.37233479015,-42017.68494354155
-2417.989816560393,30442.807061464828,-32860.79687802522
3.9977779425370675e6,39293.53718178173,3.958484405355286e6
1.4997938103276387e7,29045.366673500113,1.4968892736602888e7
-2466.995063387038,31852.72332047954,-34319.71838386658
-2451.605590285185,33797.50736549308,-36249.11295577827
-2403.6346104936783,36611.12334843641,-39014.75795893009
1.1997903913600992e7,30240.363659249117,1.1967663549941743e7
-2314.0634442783044,29269.717676396274,-31583.78112067458
-2409.2233651527076,38756.664993296516,-41165.88835844922
1.999808124530612e7,32810.49782746463,1.9965270747478656e7
5.997814892204622e6,32003.87355223826,5.965811018652383e6
